"region","SPECIES_QUALIFIED","SQ_CU_NAME","FULL_CU_IN","cuid","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","n.arrival","n.sd","n.peak"
"Haida Gwaii","CK","CK (P)HATCHERY EXCLUSION-PALLANT CREEK","CK-9002",NA,246.752722835316,284.650522825023,6.84536338041999,271.234053581154,298.067520538921,7,12,6
"Transboundary","CK","CK ALSEK","CK-67",1004,202.193561428368,230.216432364237,20.2770680309568,185.871518112317,274.083630971541,3,0,0
"Central Coast","CK","CK BELLA COOLA-BENTINCK","CK-39",512,152.408360502309,257.632620581419,13.3721373676906,231.423291240929,283.841996809731,61,120,62
"Fraser","CK","CK BOUNDARY BAY_FA_0.3","CK-2",302,298.595336017773,319.108884602017,20.8907333733643,278.163033959259,360.055411589959,3,4,1
"Central Coast","CK","CK DEAN RIVER","CK-40",513,167.159874853637,242.701759345313,10.9666449707393,221.207246139939,264.196627151154,33,84,43
"Central Coast","CK","CK DOCEE","CK-36",509,223.941776698636,274.738567016848,10.7630434827627,253.642936536174,295.834029677925,31,87,43
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x","CK-22",322,246.074068075913,289.061987686346,13.4365431853748,262.726535697765,315.397566986402,46,133,64
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3","CK-83",334,160.61619665678,281.859123847333,9.91275867290032,262.430309859357,301.288091425189,28,51,21
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",321,282.358176197473,309.163484743199,9.39857549366943,290.742276205668,327.584586194817,35,55,25
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x","CK-25",324,255.434699775938,283.597073993446,9.6070559722264,264.767331346736,302.42690990921,41,88,40
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NORTH_FA_0.x","CK-29",327,235.353227010737,272.218856364402,12.6631491509285,247.399064688145,297.038596375051,218,550,276
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x","CK-27",325,255.661457469535,284.876298889759,11.7814998298119,261.784558877903,307.968025089083,135,343,171
"Skeena","CK","CK ECSTALL","CK-46",205,214.904283761101,253.973189927508,9.47834543104084,235.395607328277,272.550712182019,52,186,86
"Fraser","CK","CK FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>","CK-9006",NA,135.378405179638,181.766028211329,18.5954845211696,145.318900995665,218.212958633404,13,56,26
"Fraser","CK","CK FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>","CK-9008",NA,291.356427871485,313.771649151749,13.8649426737827,286.596305072229,340.947187557929,1,40,17
"Fraser","CK","CK FRASER-MISCELLANEOUS<<BIN>>","CK-9004",NA,227.056909783971,298.09670665894,6.10574211109537,286.130193045466,310.064418810675,0,3,4
"Haida Gwaii","CK","CK HAIDA GWAII-EAST","CK-44",806,274.298864500901,239.215830435187,7.74882213996586,224.028102041358,254.403171196447,5,16,8
"Haida Gwaii","CK","CK HAIDA GWAII-NORTH","CK-43",805,150.143375209297,246.32167329032,12.4265380937857,221.965645067086,270.677566492785,33,90,44
"Vancouver Island & Mainland Inlets","CK","CK HOMATHKO_SU_x.x","CK-34",331,206.511006473448,246.954126188439,9.15336403765716,229.013514578411,264.894872406485,27,134,67
"Skeena","CK","CK KALUM-EARLY TIMING","CK-49",206,209.632266608791,241.386791694663,8.63484519472405,224.462434012692,258.311097436749,61,164,90
"Skeena","CK","CK KALUM-LATE TIMING","CK-50",207,216.622551915894,257.601225844848,9.51879872649057,238.944322515035,276.258266801013,53,127,63
"Vancouver Island & Mainland Inlets","CK","CK KLINAKLINI_SU_1.3","CK-35",332,168.274068194325,232.105471373214,17.9445195533887,196.934345496556,267.276874178825,39,71,39
"Skeena","CK","CK LAKELSE","CK-51",227,218.085957754324,247.238370365843,7.39498903712175,232.744126370645,261.732449848059,52,127,66
"Fraser","CK","CK LOWER FRASER RIVER_FA_0.3","CK-3",303,287.496618866547,313.197552308708,14.3243394105356,285.121850588322,341.273285186333,30,68,35
"Fraser","CK","CK LOWER FRASER RIVER_SP_1.3","CK-4",304,127.307137156852,172.628365132099,19.8227103145279,133.775789764143,211.481218583923,13,54,27
"Fraser","CK","CK LOWER FRASER RIVER_SU_1.3","CK-6",306,209.160422495616,268.139311894087,14.8674714492771,238.999113310111,297.279612462218,51,138,86
"Fraser","CK","CK LOWER FRASER RIVER-UPPER PITT_SU_1.3","CK-5",305,215.905470561374,239.88467321785,10.8195968213559,218.678375453299,261.091061505638,20,68,34
"Skeena","CK","CK LOWER SKEENA","CK-48",210,215.856493465818,242.212739348093,7.4534310525913,227.603995617481,256.821552507839,244,545,298
"Fraser","CK","CK LOWER THOMPSON_SP_1.2","CK-17",317,206.625497266759,244.659676505172,9.50731996453249,226.025276487716,263.294029030662,177,490,258
"Fraser","CK","CK MARIA SLOUGH_SU_0.3","CK-7",307,262.987391653676,286.533761431295,11.2564623933342,264.471145025929,308.596414514798,28,78,41
"Fraser","CK","CK MIDDLE FRASER RIVER_SP_1.3","CK-10",310,214.541784246941,239.596454034859,7.41781817591252,225.057506633435,254.135389192867,243,571,363
"Fraser","CK","CK MIDDLE FRASER RIVER_SU_1.3","CK-11",311,232.478724848016,261.261882876856,7.26349956514064,247.025483783517,275.498298459921,214,504,355
"Fraser","CK","CK MIDDLE FRASER RIVER-PORTAGE_FA_1.3","CK-9",309,262.522027828051,287.983283940938,9.22936340971002,269.893628664261,306.072990536328,29,73,38
"Fraser","CK","CK MIDDLE FRASER-FRASER CANYON_SP_1.3","CK-8",308,244.851003251054,266.380153256382,8.05317729812615,250.595989320196,282.164248911975,28,74,39
"Skeena","CK","CK MIDDLE SKEENA-LARGE LAKES","CK-53",222,225.31531243527,255.891363967285,8.35635180999489,239.512868243306,272.269794888497,125,456,240
"Skeena","CK","CK MIDDLE SKEENA-MAINSTEM TRIBUTARIES","CK-54",217,212.169332793995,241.380644265042,7.60779041194043,226.469467884919,256.291914986873,204,487,242
"Central Coast","CK","CK NORTH AND CENTRAL COAST-EARLY TIMING","CK-42",515,180.772681771077,233.136480682598,9.0801105070802,215.339487247821,250.933463563332,556,1361,679
"Central Coast","CK","CK NORTH AND CENTRAL COAST-LATE TIMING","CK-41",514,199.690130459628,239.122043887178,11.6341955204094,216.319010013519,261.925155376657,68,211,100
"Fraser","CK","CK NORTH THOMPSON_SP_1.3","CK-18",318,217.068406455607,238.262462637742,7.58695697530474,223.392103949612,253.132964449712,60,157,96
"Fraser","CK","CK NORTH THOMPSON_SU_1.3","CK-19",319,228.91172529408,261.096052276323,7.39674521623713,246.598468120276,275.593714107798,159,415,241
"Nass","CK","CK PORTLAND SOUND-OBSERVATORY INLET-LOWER NASS","CK-57",401,191.140433249062,225.775772239259,8.43230434988725,209.248398910227,242.303153886524,157,448,238
"Central Coast","CK","CK RIVERS INLET","CK-37",510,212.228976176211,247.217516336025,9.87463653913675,227.863223383073,266.57179672987,187,503,258
"Fraser","CK","CK SHUSWAP RIVER_SU_0.3","CK-15",315,202.826133944452,277.143298156739,12.152394254984,253.324723119297,300.961880194357,36,110,67
"Skeena","CK","CK SICINTINE","CK-81",241,218.476146831266,228.557559329057,5.10245838739955,218.557471867858,238.557864621373,1,2,1
"Skeena","CK","CK SKEENA ESTUARY","CK-45",224,229.56990687924,264.957124134401,8.3987893990511,248.49548505916,281.418879195393,34,105,52
"Fraser","CK","CK SOUTH THOMPSON_SU_0.3","CK-13",313,239.21445673769,280.244857193792,10.2060028989994,260.241176103771,300.248500681768,95,296,171
"Fraser","CK","CK SOUTH THOMPSON_SU_1.3","CK-14",314,203.276996382899,262.880151025531,10.5549844308136,242.192364305578,283.567925387521,64,188,103
"Fraser","CK","CK SOUTH THOMPSON-BESSETTE CREEK_SU_1.2","CK-16",316,236.579950628839,267.736108328097,7.9526606571876,252.149129748026,283.323311229157,30,73,47
"Vancouver Island & Mainland Inlets","CK","CK SOUTH-MISCELLANEOUS<<BIN>>","CK-9005",NA,296.598966166366,325.227054993813,2.76031479764582,319.817946479802,330.63744105479,4,3,1
